Token,PCA Component 1,PCA Component 2,PCA Component 3
Harry,4.924577713012695,2.1047420501708984,-1.8505325317382812
Potter,3.136265277862549,-2.895875930786133,-0.8315162658691406
is,-3.429002285003662,-0.1261918991804123,-1.2867918014526367
a,-1.2774780988693237,1.9539003372192383,1.036993384361267
film,1.6995972394943237,2.8824145793914795,-0.34487444162368774
series,0.5093958973884583,-2.0847530364990234,0.5435939431190491
based,-3.8085811138153076,0.2220107465982437,-2.241940498352051
on,-2.7986927032470703,-1.4359285831451416,-1.4144479036331177
the,-0.5908043384552002,2.258305072784424,0.8865565061569214
eponymous,-0.31364676356315613,3.626356601715088,0.2224607914686203
novels,-0.6647666692733765,-2.2028098106384277,0.7053146958351135
by,-3.331894874572754,-1.6038990020751953,-1.9136849641799927
British,1.350932002067566,2.842103958129883,-0.15058989822864532
author,1.3384604454040527,0.5481074452400208,-1.3004488945007324
J.,5.098348617553711,3.1298017501831055,-1.7295210361480713
K.,3.9192748069763184,3.031343698501587,-2.287513494491577
Rowling,3.10825777053833,-2.9759581089019775,-1.1394487619400024
.,-2.7182869911193848,-0.31232312321662903,-0.5211378335952759
The,-1.426885724067688,2.5437121391296387,-0.43782204389572144
produced,-4.178427696228027,0.08386145532131195,-2.2331326007843018
and,-1.9925727844238281,-0.5987768173217773,-0.10317786782979965
distributed,-3.928558111190796,-0.5101534724235535,-2.422825336456299
Warner,5.446758270263672,2.1475746631622314,-0.47385045886039734
Bros.,3.3723580837249756,1.2838170528411865,0.5722295045852661
Pictures,3.0591583251953125,-3.5475680828094482,-0.2786610722541809
consists,-1.841192603111267,-2.0592446327209473,-1.239219069480896
of,-3.022475004196167,-1.255192756652832,-1.0711042881011963
eight,-0.75954669713974,2.038830041885376,4.693457126617432
fantasy,0.39484676718711853,4.307610034942627,0.42223048210144043
films,-0.001959138549864292,-1.9742332696914673,1.2311376333236694
beginning,-2.8799967765808105,-0.4013136923313141,-0.6686691045761108
with,-3.0256948471069336,-1.718916416168213,-2.0058884620666504
Philosopher,2.647120237350464,-1.024949550628662,-0.6512054204940796
's,-1.9837596416473389,1.2694989442825317,1.6389470100402832
Stone,2.081759214401245,-2.3267812728881836,-0.6882942914962769
in,-3.3237192630767822,-1.0913633108139038,-2.574232339859009
2001,-1.120017647743225,-1.6028501987457275,4.392638206481934
culminating,-3.6196067333221436,0.009388577193021774,-1.7412562370300293
Deathly,2.3603382110595703,2.112685441970825,-1.3993433713912964
Hallows,1.7011381387710571,-2.3233814239501953,-0.8330391049385071
Part,1.1152167320251465,-1.0651978254318237,-0.6513898372650146
2,-1.1903449296951294,-0.9956837892532349,2.903974771499634
2011,-0.3256053328514099,-3.3663628101348877,5.562464714050293
A,-2.1627604961395264,1.0778685808181763,0.44018176198005676
spin,-0.12121643871068954,1.5777446031570435,0.6568011045455933
-,-2.059398889541626,2.6366353034973145,1.554186463356018
off,-1.5840991735458374,0.3028894364833832,0.009338479489088058
prequel,1.0249024629592896,3.1435017585754395,-0.1577775478363037
started,-3.6853113174438477,-0.3257836103439331,-2.449354648590088
Fantastic,2.239553928375244,2.877380609512329,-0.3886016607284546
Beasts,1.4310131072998047,-2.865095615386963,0.2926866114139557
Where,-1.7047924995422363,1.8718817234039307,0.6187489628791809
to,-2.035876750946045,2.148739814758301,-0.609916627407074
Find,-2.5955207347869873,-1.4744700193405151,-1.5429372787475586
Them,1.3150475025177002,-2.814711570739746,0.975290834903717
2016,-0.5515052676200867,-3.8799197673797607,5.504183292388916
marking,-3.518467426300049,-0.32970762252807617,-2.590022325515747
Wizarding,1.873361349105835,3.6059212684631348,-0.8454025387763977
World,2.039205551147461,-0.3902146816253662,-0.7806116342544556
shared,-2.586304187774658,1.7606959342956543,-1.2791794538497925
media,0.4070286452770233,2.4208614826202393,0.7519411444664001
franchise,0.8312922716140747,-1.8781193494796753,1.3630602359771729
was,-3.7176313400268555,2.0170044898986816,-2.6358723640441895
mainly,-2.7412216663360596,3.6211788654327393,0.05982769653201103
David,5.181858539581299,2.8341362476348877,-1.6975197792053223
Heyman,2.634547472000122,-3.171586036682129,-0.721912145614624
stars,-1.3435238599777222,-1.8622360229492188,-2.1913347244262695
Daniel,5.444538593292236,2.6903436183929443,-1.9995973110198975
Radcliffe,3.732957601547241,-4.196779727935791,-0.3505646586418152
Rupert,4.8932108879089355,2.764187812805176,-1.4156417846679688
Grint,2.945523262023926,-4.253823757171631,0.10912460833787918
Emma,4.21827507019043,3.464771032333374,-2.0212066173553467
Watson,2.699547529220581,-2.899777889251709,-1.3237086534500122
as,-2.596492052078247,-1.5069752931594849,-2.5745887756347656
three,-0.8959302306175232,1.9798166751861572,4.191562652587891
leading,-0.40516695380210876,3.458780288696289,0.9071135520935059
characters,0.2623854875564575,-2.9429779052734375,0.8201824426651001
:,-1.5887598991394043,-1.3384383916854858,-1.0436267852783203
Ron,5.8715739250183105,4.014664649963379,-2.29561185836792
Weasley,3.367784023284912,-4.451449871063232,-0.5326684713363647
Hermione,4.531583786010742,1.935180425643921,-0.8675063252449036
Granger,3.9214026927948,-3.216372489929199,-0.5753015875816345
Four,-0.9179806113243103,0.7761443257331848,2.789583206176758
directors,0.5237206816673279,-2.204900026321411,0.12497025728225708
worked,-4.234429359436035,-0.3002145290374756,-2.9807448387145996
Chris,4.107842922210693,1.9709737300872803,-1.4771361351013184
Columbus,3.0961711406707764,-3.094254970550537,-1.1972002983093262
Alfonso,5.29319429397583,3.377901315689087,-2.0855932235717773
Mike,5.539992809295654,3.416245937347412,-2.466217041015625
Newell,3.950205087661743,-4.193253517150879,-0.4698862135410309
Yates,3.2456583976745605,-4.242916107177734,0.243329718708992
Michael,4.014949321746826,2.269956588745117,-2.5267794132232666
Goldenberg,4.5354905128479,-3.812335968017578,-1.34873628616333
wrote,-4.631542682647705,-1.008293867111206,-3.0467262268066406
screenplay,-0.34460440278053284,-0.9700066447257996,0.2393835186958313
for,-3.398949384689331,-2.2696080207824707,-1.837610125541687
Order,0.8670674562454224,-1.872179388999939,-0.12194780260324478
Phoenix,3.4354450702667236,-3.309018611907959,-1.1052544116973877
2007,-0.13441993296146393,-3.217578411102295,5.092728614807129
while,-2.9460268020629883,-0.6679502129554749,-1.5271296501159668
remaining,-1.024617075920105,3.70137882232666,1.0632034540176392
screenplays,0.3136536777019501,-1.87815523147583,1.0569626092910767
were,-3.5054118633270264,2.410501480102539,-2.2950315475463867
written,-4.796515464782715,-0.37112000584602356,-2.1501951217651367
Steve,5.493673801422119,2.8284761905670166,-0.6747474074363708
Kloves,3.720362424850464,-4.292724132537842,0.5596607327461243
Production,1.4799381494522095,-0.43808242678642273,-0.6003968715667725
took,-4.608505725860596,-0.9808863401412964,-3.5883092880249023
place,-1.0231812000274658,-1.6520439386367798,1.2204911708831787
over,-2.863375663757324,0.27814316749572754,-0.39435306191444397
ten,-0.5198243260383606,2.3620243072509766,4.199337959289551
years,-0.8613905906677246,-2.160834550857544,2.7753782272338867
main,-0.4888703227043152,4.465893268585205,0.36970099806785583
story,-0.22960762679576874,2.20615291595459,-0.37206974625587463
arc,0.08093827217817307,-1.1626594066619873,-0.625697672367096
following,-3.194047689437866,-0.8398314118385315,-3.899138927459717
quest,-0.5232715010643005,-1.0542142391204834,0.8568659424781799
overcome,-3.8548295497894287,-0.9465054273605347,-1.6805118322372437
his,-0.7438066005706787,2.0330915451049805,2.417541265487671
arch,0.2552803158760071,2.957080125808716,1.2196762561798096
enemy,1.7860780954360962,0.6987712383270264,-0.8384886384010315
Lord,4.8939642906188965,2.060432195663452,-1.9855879545211792
Voldemort,3.3628361225128174,-2.842226982116699,-0.16646945476531982
seventh,-0.7395430207252502,2.1774041652679443,0.700160562992096
final,-1.159096360206604,1.9210017919540405,0.48689472675323486
novel,-1.3276151418685913,-1.0040966272354126,0.25014618039131165
adapted,-4.261780738830566,0.0010343770263716578,-1.7688326835632324
into,-3.0574846267700195,-1.776535153388977,-2.2099452018737793
two,-1.3738415241241455,1.7825429439544678,5.500069618225098
feature,-0.485953688621521,3.366791248321533,1.553137183189392
length,-0.004180423449724913,2.1046745777130127,1.0286849737167358
parts,0.21472685039043427,-2.557084321975708,1.5842818021774292
1,-0.6667983531951904,1.5413182973861694,4.2891974449157715
released,-4.005086898803711,-0.09060366451740265,-1.9961986541748047
November,3.55112886428833,-3.6530535221099854,1.9154491424560547
2010,-0.502049446105957,-3.0637621879577637,5.641866207122803
July,3.510420799255371,-4.444010257720947,1.8668476343154907
among,-3.2593677043914795,-0.5033730268478394,-1.385187029838562
50,-0.5201055407524109,1.6325359344482422,4.968593597412109
highest,-1.01953125,1.4569064378738403,1.7661924362182617
grossing,-2.748579502105713,1.584831714630127,-0.5387234687805176
all,-1.5217088460922241,2.723609447479248,2.2388250827789307
time,-0.434935986995697,-1.456368088722229,0.9147453904151917
at,-2.461792469024658,-1.0315710306167603,-2.4147605895996094
18th,-1.3203712701797485,1.9185835123062134,2.3863961696624756
$,-0.4572131633758545,1.0698615312576294,3.406430959701538
billion,-1.3387646675109863,-1.9516493082046509,4.326064586639404
It,-0.9197854995727539,0.034838270395994186,0.12769117951393127
fourth,-0.4625006318092346,3.59122896194458,1.195241093635559
7.7,-0.17403626441955566,4.433324813842773,6.274563789367676
worldwide,-0.26697298884391785,2.581082344055176,0.35627081990242004
receipts,0.19551512598991394,-2.1900084018707275,1.0727752447128296
